ITEM_NM,SUBITEM_NM,CTPRVN_NM,SIGNGU_NM,CLSSRM_NM,TROBL_TY_NM,OPER_TIME_CN,CLSSRM_INTRCN_CN,RCRIT_PD,OPER_PD
기타,,전북,장수군,2022 전북장애인그라운드골프교실(장수),기타장애,10:00~12:00,,20220401~20220531,20220601~20221130
기타,기타,전북,진안군,2022 전북장애인생활체육 재활운동교실(진안),기타장애,10:00~11:30,,20220101~20220301,20220601~20221231
기타,요가,전북,진안군,2022 전북장애인생활체육 재활요가교실(진안),기타장애,10:30~11:30,,20220101~20220301,20220601~20221231
기타,,전북,순창군,요가교실,지적장애,13:30~15:00,,22.01.01~22.12.31,22.01.01~22.12.31
기타,기타,대구,달서구,2022년 대구발달장애인무용생활체육교실(파릇),지적장애,0000,"무용의 한 요소인 신체움직임을 통해 코로나19로 활동이 줄어든 발달장애인들에게 비대면으로 가족이나 형제들이 함께 비만예방 및 다이어트댄스 교실에 참여하여 가족 구성원들간의 소통의 기회향상은 물론 상황에 상관없이 꾸준한 교실운영이 이루어지고 소외계층을 위한 사회문화예술의 대중화와 보급화는 물론 만족도에 기여하고 다양한 움직임과 자기표현의 기회를 통해 발달장애인들의 자기 존중감, 표현력 향상이 기여하고 지역장애인의 삶을 좀 더 의미있게 살아가는데 도움주고자 함",20220411~20220429,20220503~20221025
기타,기타,경기,부천시,부천시각장애인협회 우슈교실,시각장애,13:00-14:00,,20220101~20221231,20220101~20221231
기타,,전북,순창군,뉴스포츠교실,지적장애,13:30~15:00,,22.01.01~22.12.31,22.01.01~22.12.31
기타,,경기,부천시,부천시장애인생활체육교실 - 몸~튼튼 맘~튼튼,지적장애,13:00-15:00,,20220101~20221231,20220101~20221231
기타,뉴스포츠,전북,고창군,뉴스포츠 교실,기타장애,매주 금 14:30~15:30,,22.01.01~22.06.01,22.06.01~22.11.30
기타,풋살,전북,군산시,2022년 전북장애인생활체육 아이드림풋살교실(군산),지적장애,매주 수요일 18:00~19:00,,20220101~20220330,20220601~20221130
기타,헬스,전북,군산시,2022년 전북장애인생활체육 아이드림비만헬스교실(군산),지적장애,매주 목요일 18:00~19:00,,20220101~20220330,20220601~20221130
기타,뉴스포츠,전북,군산시,2022년 전북장애인생활체육 아이드림뉴스포츠(군산),지적장애,매주 화요일 18:00~19:00,,20220101~20220330,20220601~20221130
기타,,경기,고양시,고양시 풋센발리볼교실,지적장애,13:30-15:30,,20220101~20221231,20220101~20221231
기타,에어로빅,전북,군산시,2022년 전북장애인생활체육 군산에어로빅댄스교실,지적장애,매주 목요일 14:00~15:00,,20220101~20220330,20220601~20221130
기타,뉴스포츠,충남,아산시,(시비)2022년 시각장애인 뉴스포츠교실,시각장애,수 13:30~15:00,,20220101~20221231,20220914~20221207
기타,요가,전북,전주시,2022 전북장애인생활체육 요가,청각장애,25회,,20220101~20220430,20220601~20221130
기타,뉴스포츠,전북,전주시,2022 전북장애인생활체육 레크체육&amp;뉴스포츠,지적장애,25회,,20220101~20220430,20220601~20221130
기타,,경남,김해시,"(기금)3UP(자신감, 힐링, 체력) 댄스교실",지적장애,월 13:00~14:00,,20220401~20220930,20220401~20220930
