ITEM_NM,SUBITEM_NM,CTPRVN_NM,SIGNGU_NM,CLUB_NM,TROBL_TY_NM,OPER_TIME_CN,CLUB_INTRCN_CN
당구,,충남,금산군,금산군장애인당구동호회,지체장애,매주 토 오후 15:00~17:00,
당구,,전남,목포시,구슬치기당구클럽,지체장애,"매주 월,수 오후1시",목포시 장애인 당구클럽입니다.당구에 관심있으신 장애인이면 언제든 환영합니다.
당구,,전북,김제시,마블당구클럽,지체장애,매주 금 오후 2시,
당구,,대전,서구,당구사랑,지체장애,매주 월~금,장애인과 비장애인이 함께 어울려 당구로 하나되는 동호회입니다.
당구,,충남,서산시,매니아당구클럽,지체장애,매주 일 18시,
당구,,전북,군산시,2022년 전북장애인생활체육 군산새만금당구클럽,지체장애,매주 목요일 14:00~16:00,
당구,,전북,익산시,서동당구클럽,지체장애,매주 일 12시,
당구,,충남,서산시,우당탕탕 당구클럽,지체장애,매주 토 1800,
당구,,경기,김포시,김포시장애인당구클럽,지체장애,매주 화요일  14시,김포시  장애인당구 클럽입니다
당구,포켓볼,전남,광양시,선샤인포겟볼클럽,기타장애,매주 토요일 13:00~15:00,광양시에서 활동하고 있는 포겟볼클럽입니다.
당구,,강원,횡성군,횡성군지체장애인협회,지체장애,매일,
당구,,경남,함양군,상림,지체장애,매주월요일 오후2시,
당구,,강원,횡성군,횡성군 장애인 당구 동호회,지체장애,매주 수 오후 7시,
당구,,서울,노원구,노원드림큐 당구클럽,기타장애,"매주 화,목 오전 10시 ~ 12시",장애인들로 구성된 어울림 생활체육 동호회입니다.
댄스스포츠,생활체조,충남,논산시,(시비)논산시체조동호회,시각장애,"화,금 13:30~14:30",안녕하세요  논산시체조동호회입니다~^^
댄스스포츠,,전남,여수시,여수휠체어댄스스포츠클럽,지체장애,매주 토 9:30~10:30,
댄스스포츠,,경기,성남시,성남시6530댄스클럽,지체장애,매주 금 19:00~21:00,어울림 댄스스포츠클럽
럭비,,부산,사상구,올레,지체장애,"매주 수(14~18), 금(18~21)","휠체어럭비는 장애인, 비장애인 모두가 어울려 함께 즐길 수 있는 스포츠입니다. 관심있는분들은 연락주세요~!!"
럭비,,충북,청주시,2022 충북휠체어럭비클럽,지체장애,수 오후 2시부터 5시,모든 장애인 및 비장애인이 함께 활동하는 어울림클럽
럭비,,대전,유성구,2022 대전휠체어럭비클럽,지체장애,"매주 화,목 1시",대전시 휠체어럭비 동호회입니다.
럭비,휠체어럭비,부산,동래구,터치다운,지체장애,"매주 수(14~18), 금(18~21)","휠체어럭비는 장애인, 비장애인 모두가 어울려 함께 즐길 수 있는 스포츠입니다. 많은 관심 부탁드립니다."
론볼,,전북,군산시,2022년 전북장애인생활체육 군산장애인론볼클럽,지체장애,매주 수요일 14:00~16:00,
